rowid,clue,answer,definition,clue_number,puzzle_date,puzzle_name,source_url,source
780,Beethoven symphony in historic exam? (8),PASTORAL,Beethoven symphony,11d,2017-06-07,Quick Cryptic 847,https://times-xwd-times.livejournal.com/1753496.html,times_xwd_times
781,Company is importing meat — antelope (7),CHAMOIS,antelope,13d,2017-06-07,Quick Cryptic 847,https://times-xwd-times.livejournal.com/1753496.html,times_xwd_times
782,Daughter torn about island allowing vehicular access (5-2),DRIVE-IN,allowing vehicular access,15d,2017-06-07,Quick Cryptic 847,https://times-xwd-times.livejournal.com/1753496.html,times_xwd_times
783,Doctor holding delicate fabric up still (6),BECALM,still,16d,2017-06-07,Quick Cryptic 847,https://times-xwd-times.livejournal.com/1753496.html,times_xwd_times
784,Movable chair some used anywhere (5),SEDAN,Movable chair,18d,2017-06-07,Quick Cryptic 847,https://times-xwd-times.livejournal.com/1753496.html,times_xwd_times
785,Applaud actor who overdoes it in South London area (7),CLAPHAM,South London area,1a,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
786,"Travel about, moving over (4)",ROVE,Travel about,5a,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
787,Remnant of fire found at the end of three months (5),EMBER,Remnant of fire,7a,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
788,"Listless, glad Uni is out (7)",LANGUID,Listless,8a,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
789,The man that can be heard in church song (3),HIM,The man,10a,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
790,"Having written a will protecting husband and son in America (3,6)",THE STATES,America,11a,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
791,"Change designation of item, an error partly reversed (6)",RENAME,Change designation of,13a,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
792,"Piano music's silence, with nothing played fast (6)",PRESTO,played fast,14a,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
793,"Frightfully damp reaction? (4,5)",COLD SWEAT,Frightfully damp reaction,17a,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
794,Odd pieces removed from very new organ (3),EYE,organ,19a,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
795,"Edges of travelator, enough to walk on (7)",TRAMPLE,to walk on,20a,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
796,Proudly claim vessel carries spades (5),BOAST,Proudly claim,22a,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
797,"Work with teeth, clubs and axe (4)",CHEW,Work with teeth,23a,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
798,A study developed around English calendar item (7),TUESDAY,calendar item,24a,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
799,"Maybe Tom from Warrington, one with a lingering happy expression (8,3)",CHESHIRE CAT,Maybe Tom from Warrington/one with a lingering happy expression,1d,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
800,"White LP, almost complete (7)",ALBUMEN,White,2d,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
801,"Firm multiplied by showing work of Dickens (4,5)",HARD TIMES,work of Dickens,3d,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
802,Ponder extraterrestrial form of sea life (6),MULLET,form of sea life,4d,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
803,Prune without its skin makes you go fast! (3),RUN,go fast,5d,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
804,Safe place to jump (5),VAULT,Safe place/to jump,6d,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
805,"Part of meal being cooked perhaps with unusual style, not in the true way? (11)",DISHONESTLY,not in the true way,9d,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
806,Part of deck on which 45 may go for a spin (9),TURNTABLE,Part of deck on which 45 may go for a spin,12d,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
807,Attendant almost to tread on person in care (7),STEWARD,Attendant,15d,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
808,To change sides is a fault (6),DEFECT,To change sides/a fault,16d,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
809,Seal swimming at end of beach shows restraint for an animal (5),LEASH,restraint for an animal,18d,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
810,Clumsily handle father and wife (3),PAW,Clumsily handle,21d,2015-12-16,Quick Cryptic 462,https://times-xwd-times.livejournal.com/1435278.html,times_xwd_times
811,"Bracketed father, say, with man having time in charge (11)",PARENTHETIC,Bracketed,1a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
812,Go in with five by two strengthening strip (6),BATTEN,strengthening strip,7a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
813,Port city with area for university student residence (4),HALL,university student residence,10a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
814,Note aunt’s unfortunate disease (7),TETANUS,disease,14a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
815,Quash right boxing ace in a ring (7),ANNULAR,in a ring,15a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
816,Certainly bachelor interrupts ruse for ladies’ man (7),PLAYBOY,ladies’ man,16a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
817,"Famous maestro, not English, getting cue wrong after Lohengrin’s wife is dressing (8,5)",BECHAMEL SAUCE,dressing,17a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
818,City with terrible secret about gold (9),WORCESTER,City,18a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
819,"One living abroad has European vote, very conveniently (5)",EXPAT,One living abroad,19a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
820,Heavy work I have outside printing house (10),OPPRESSIVE,Heavy,21a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
821,Charge involving one Zulu witch doctor? (6),WIZARD,witch doctor?,23a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
822,Confused pie chart and inscription (8),EPIGRAPH,inscription,25a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
823,"What may result in prince’s military manoeuvre (6,8)",PINCER MOVEMENT,What may result in prince/military manoeuvre,26a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
824,Large cactus so full of water of Mexican river (7),SAGUARO,Large cactus,29a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
825,"Anaesthetic unit is the best (6,3)",NUMBER ONE,the best,30a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
826,Royal Society’s in misery with lower standards (5),WORSE,with lower standards,31a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
827,Speak at length with old judge (5),ORATE,Speak at length,32a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
828,"Queen trapped by duty? Right, this may give her strength (9)",EXERCISER,this may give her strength,34a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
829,Golf provides for a place to swing (7),GALLOWS,a place to swing,37a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
830,Key mineral fat for pastry producing artistic effect (14),FORESHORTENING,artistic effect,39a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
831,Established working name for language (8),ESTONIAN,language,41a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
832,"Familiarly, wheels stick and make a harsh noise (6)",JAMJAR,"Familiarly, wheels",43a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
833,Absolute commander-in-chief chasing car holding traitor (10),AUTOCRATIC,Absolute,44a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
834,"Fine inventions, jets? (5)",FLIES,jets?,45a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
835,Like flowers when meeting to study illness with hospital department (9),CONFLUENT,Like flowers when meeting,48a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
836,See beer in guilty sense without one getting better (13),CONVALESCENCE,getting better,49a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
837,Doctor exposed about operation as one who failed to qualify (7),DROPOUT,one who failed to qualify,51a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
838,Seller of pills made from tips of acacia blossom on tree (7),BEECHAM,Seller of pills,52a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
839,Took on suitable editor without visit to see (7),ADOPTED,Took on,53a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
840,Smart suppressing singular desire (4),WISH,desire,54a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
841,Failing to cross over desert (6),DEFECT,Failing/to cross over/desert,55a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
842,"Web crawler that predicts where the wealth is going? (5,6)",MONEY SPIDER,Web crawler,56a,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
843,Pill introduced by east European is fit to drink down (7),POTABLE,fit to drink down,1d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
844,Informer about in Epping restraining local authority (4-7),RATE,restraining local authority,2d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
845,Girl trapping judge’s assassin (5),NINJA,assassin,3d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
846,"What’s inverted horny porno tester suffering? (8,8)",HYSTERON PROTERON,What’s inverted,4d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
847,Managed a month in teetotal wing of church (8),TRANSEPT,wing of church,5d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
848,Mum’s core sin unfortunately is a love of shopping (11),CONSUMERISM,a love of shopping/),6d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
849,Bulk large on the outside? (5),BULGE,Bulk large on the outside?,7d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
850,"Jettison bedcover on top of antique table (5,9)",THROW OVERBOARD,Jettison,8d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
851,Sandwich spread? (6),EXPORT,Sandwich/spread,9d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
852,Market exploiter using a rand drop to bait Europe (11),ARBITRAGEUR,Market exploiter,11d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
853,Stratified lake certainly a warning of something dangerous (7),LAYERED,Stratified,12d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
854,"British petroleum jelly, not very standard for comparison (8)",BASELINE,standard for comparison,13d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
855,Convert home to church in stretch of land for row of houses (7),TERRACE,row of houses,20d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
856,Certain about Chile’s capital being somewhere in the Andes (5),SUCRE,somewhere in the Andes,22d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
857,"Strange being on underground with a railway minister (7,9)",FOREIGN SECRETARY,minister,24d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
858,"Moderate teases toffs endlessly (4,3)",EASE OFF,Moderate,25d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
859,No tears about disloyalty (7),TREASON,disloyalty,27d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
860,Includes bitter brewed to be very strong (14),INDESTRUCTIBLE,very strong,28d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
861,"Rich, fit and not working (4-3)",WELL,Rich,31d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
862,A blush digesting record of debt leaving son to the very end bitter (11),ACRIMONIOUS,bitter,33d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
863,Section of poem to preserve — Tasso’s no fool (5),CANTO,Section of poem,35d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
864,HM's in a grand construction -- here? (11),SANDRINGHAM,here?,36d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
865,"Dogmatic idea, no point shifting (11)",OPINIONATED,Dogmatic,38d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
866,Delay one riding horse (8),STALLION,horse,40d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
867,"Sham opponent’s name a million nasty people sent up (5,3)",STRAW MAN,Sham opponent,42d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
868,"Bird’s to raise hatch, reportedly (7)",JACKDAW,Bird,43d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
869,Mailer accepting Pound is rather fine (7),SLENDER,rather fine,46d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
870,Get annoyed with what might appear on waste land (6),NETTLE,Get annoyed with/what might appear on waste land,47d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
871,Socialists pursuing Conservative split (5),CLEFT,split,49d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
872,Mike’s stuffing piece of meat to munch with gusto (5),CHOMP,munch with gusto,50d,2020-06-13,Jumbo 1443,https://times-xwd-times.livejournal.com/2355078.html,times_xwd_times
873,Stock colours (8),STANDARD,Stock/colours,1a,2018-01-20,Times Cryptic No 26934,https://times-xwd-times.livejournal.com/1881012.html,times_xwd_times
874,Warm and moist — like some marine life? (6),CLAMMY,Warm and moist/like some marine life,6a,2018-01-20,Times Cryptic No 26934,https://times-xwd-times.livejournal.com/1881012.html,times_xwd_times
